id,candidato,data_ited,conversation_id,referenced_tweet_id
1552245086834106369,Lula,2022-07-28,1552245086834106369,
1552100130173685761,Lula,2022-07-28,1552100130173685761,
1552803333773168650,Lula,2022-07-29,1552803333773168650,
1552772721532014592,Lula,2022-07-29,1552772721532014592,
1552768193097252865,Lula,2022-07-29,1552768193097252865,
1552763941209706497,Lula,2022-07-29,1552763941209706497,
1552763171106177024,Lula,2022-07-29,1552763171106177024,
1552752953181839360,Lula,2022-07-29,1552752953181839360,
1552743301119352838,Lula,2022-07-29,1552742211883876357,1552742211883876357
1552701158208245760,Lula,2022-07-29,1552701158208245760,
1552685661898960896,Lula,2022-07-29,1552685661898960896,
1552681676656054274,Lula,2022-07-29,1552681675099983874,1552681675099983874
1552681675099983874,Lula,2022-07-29,1552681675099983874,
1552678605561503744,Lula,2022-07-29,1552678605561503744,
1552678422987563010,Lula,2022-07-29,1552678422987563010,
1552678001120317445,Lula,2022-07-29,1552677995038621699,1552677999396397058
1552677999396397058,Lula,2022-07-29,1552677995038621699,1552677997374836736
1552677997374836736,Lula,2022-07-29,1552677995038621699,1552677995038621699
1552677995038621699,Lula,2022-07-29,1552677995038621699,
1552675636749156352,Lula,2022-07-29,1552675636749156352,
1552675151011086337,Lula,2022-07-29,1552675151011086337,
1552675019532148741,Lula,2022-07-29,1552675019532148741,
1552673525701525512,Lula,2022-07-29,1552673525701525512,
1552673125715873793,Lula,2022-07-29,1552673118573019137,1552673123870408704
1552673123870408704,Lula,2022-07-29,1552673118573019137,1552673122154856448
1552673122154856448,Lula,2022-07-29,1552673118573019137,1552673120401629186
1552673120401629186,Lula,2022-07-29,1552673118573019137,1552673118573019137
1552673118573019137,Lula,2022-07-29,1552673118573019137,
1552641739252432896,Lula,2022-07-29,1552641739252432896,
1552613860754051072,Lula,2022-07-29,1552613860754051072,
1552461614519050241,Lula,2022-07-29,1552461614519050241,
1553152495215693827,Lula,2022-07-30,1553152495215693827,
1553114539105095680,Lula,2022-07-30,1553114539105095680,
1553113179592458244,Lula,2022-07-30,1553113179592458244,
1553113040232583168,Lula,2022-07-30,1553113040232583168,
1553111687665967110,Lula,2022-07-30,1553111687665967110,
1553110317084860417,Lula,2022-07-30,1553110317084860417,
1553109412767830016,Lula,2022-07-30,1553109412767830016,
1553098705636655106,Lula,2022-07-30,1553098705636655106,
1553079624472530944,Lula,2022-07-30,1553079624472530944,
1553030929781690368,Lula,2022-07-30,1553030929781690368,
1552967496017248256,Lula,2022-07-30,1552967496017248256,
1552825445787308032,Lula,2022-07-30,1552825445787308032,
1553491401253470209,Lula,2022-07-31,1553491401253470209,
1553462981526167553,Lula,2022-07-31,1553462981526167553,
