id,topico,topico_rotulo
1567124547345813506,2,"governo, renda, salário, mínimo, aumento"
1567224600043393025,0,"brasil, brasildaesperança, povo, país, equipelula"
1567264121720082433,1,"povo, presidente, porque, bolsonaro, gente"
1567295798177587200,1,"povo, presidente, porque, bolsonaro, gente"
1567562003253788672,3,"cirotv, vivo, cirotv br, br, acompanhe"
1567644559202566144,0,"brasil, brasildaesperança, povo, país, equipelula"
1567729791800836096,5,"dia, amanhã, bom, povo, obrigado"
1567812117432082432,0,"brasil, brasildaesperança, povo, país, equipelula"
1567915534574034947,2,"governo, renda, salário, mínimo, aumento"
1567961732869685248,1,"povo, presidente, porque, bolsonaro, gente"
1568039888074821638,2,"governo, renda, salário, mínimo, aumento"
1568170316471353346,0,"brasil, brasildaesperança, povo, país, equipelula"
1568187290425360385,0,"brasil, brasildaesperança, povo, país, equipelula"
1568362765013716993,0,"brasil, brasildaesperança, povo, país, equipelula"
1568411080879218690,5,"dia, amanhã, bom, povo, obrigado"
1568540408652746752,2,"governo, renda, salário, mínimo, aumento"
1568678055710806017,11,"fake, fake news, news, verdade, mentiras"
1568762724968202241,9,"educação, escola, universidades, estudantes, ensino"
1568982714052915201,0,"brasil, brasildaesperança, povo, país, equipelula"
1569096476604919808,3,"cirotv, vivo, cirotv br, br, acompanhe"
1569256305050927110,6,"ciro, giro ciro, giro, perca, sp"
1569343232521437185,2,"governo, renda, salário, mínimo, aumento"
1569525523185020929,9,"educação, escola, universidades, estudantes, ensino"
1569631545442418693,2,"governo, renda, salário, mínimo, aumento"
1569777925414879234,6,"ciro, giro ciro, giro, perca, sp"
1569822854882918402,6,"ciro, giro ciro, giro, perca, sp"
1569841751170469893,0,"brasil, brasildaesperança, povo, país, equipelula"
1569858506747944961,1,"povo, presidente, porque, bolsonaro, gente"
1569991326069936133,6,"ciro, giro ciro, giro, perca, sp"
1570030976147034114,2,"governo, renda, salário, mínimo, aumento"
1570156646860464128,6,"ciro, giro ciro, giro, perca, sp"
1570204834007220224,5,"dia, amanhã, bom, povo, obrigado"
1570355919585792006,2,"governo, renda, salário, mínimo, aumento"
1570447205877837824,0,"brasil, brasildaesperança, povo, país, equipelula"
1570716172437565440,2,"governo, renda, salário, mínimo, aumento"
1570803014419755016,2,"governo, renda, salário, mínimo, aumento"
1571086504377843713,1,"povo, presidente, porque, bolsonaro, gente"
1571165861687222272,6,"ciro, giro ciro, giro, perca, sp"
1571249218320273410,6,"ciro, giro ciro, giro, perca, sp"
1571267648700178433,6,"ciro, giro ciro, giro, perca, sp"
1571446082642784256,5,"dia, amanhã, bom, povo, obrigado"
1571540685744140290,0,"brasil, brasildaesperança, povo, país, equipelula"
1571809147972354049,0,"brasil, brasildaesperança, povo, país, equipelula"
1571876105383985154,0,"brasil, brasildaesperança, povo, país, equipelula"
1571882374111059975,2,"governo, renda, salário, mínimo, aumento"
1572161053928087553,0,"brasil, brasildaesperança, povo, país, equipelula"
1572285927841726467,0,"brasil, brasildaesperança, povo, país, equipelula"
1572381213632913409,2,"governo, renda, salário, mínimo, aumento"
1572524422493507584,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1572607358186004480,2,"governo, renda, salário, mínimo, aumento"
1572892076018368512,0,"brasil, brasildaesperança, povo, país, equipelula"
1572971024102363138,6,"ciro, giro ciro, giro, perca, sp"
1573008647189590017,2,"governo, renda, salário, mínimo, aumento"
1573036627559071744,2,"governo, renda, salário, mínimo, aumento"
1573252111953195008,7,"educação, brasil, crianças, ensino, melhores"
1573371067023982592,6,"ciro, giro ciro, giro, perca, sp"
1573469666793619478,6,"ciro, giro ciro, giro, perca, sp"
1573621835857526786,2,"governo, renda, salário, mínimo, aumento"
1573708243213455361,6,"ciro, giro ciro, giro, perca, sp"
1573861324739809282,2,"governo, renda, salário, mínimo, aumento"
1574009512876544000,2,"governo, renda, salário, mínimo, aumento"
