id,url,autor_nome,autor_handle,data,texto,eh_resposta,respostas,retweets,curtidas,visualizacoes,erro
1566237143328083969,https://x.com/i/web/status/1566237143328083969,Ciro Gomes,@cirogomes,2022-09-04T01:30:08.000Z,"Veja nosso quarto programa eleitoral completo, que foi exibido há pouco na 
cirotv.com.br. Você vai ficar sabendo tudo sobre a Lei Antiganância e a renegociação das dívidas que vai limpar o nome de todo mundo que está no SPC e no Serasa. #CiroPresidente12",nao,90 Replies. Reply,472 reposts. Repost,1241 Likes. Like,,
1566216921648975877,https://x.com/i/web/status/1566216921648975877,Ciro Gomes,@cirogomes,2022-09-04T00:09:47.000Z,"Todo mundo ON na 
cirotv.com.br ? ",nao,79 Replies. Reply,313 reposts. Repost,1691 Likes. Like,,
1566207517306281984,https://x.com/i/web/status/1566207517306281984,Ciro Gomes,@cirogomes,2022-09-03T23:32:25.000Z,LIVE DE EXIBIÇÃO DO QUARTO PROGRAMA ELEITORAL CIRO PRESIDENTE 12 | BELO HORIZONTE/MG | 03/09/2022,nao,69 Replies. Reply,311 reposts. Repost,1004 Likes. Like,,
1566189415575293953,https://x.com/i/web/status/1566189415575293953,Ciro Gomes,@cirogomes,2022-09-03T22:20:29.000Z,"Fala, pessoal! Passando pra lembrar que logo mais, às 20h45, entramos AO VIVO na 
cirotv.com.br pra exibir nosso programa eleitoral completo e interagir bastante com vocês. Mandem suas dúvidas e outros comentários pra Ciro, 
@gisellebezerra
 e 
@AnaPaulaMatosBA
 ",nao,39 Replies. Reply,198 reposts. Repost,783 Likes. Like,,
1566170572739977221,https://x.com/i/web/status/1566170572739977221,Ciro Gomes,@cirogomes,2022-09-03T21:05:37.000Z,É doloroso acreditar que cena tão chocante aconteça no nosso Brasil. Impossível alguém assistir este vídeo e não se sentir um bebê desprotegido ou uma mãe em desespero. Punição rigorosa para este monstro!,nao,447 Replies. Reply,723 reposts. Repost,3937 Likes. Like,,
1566159593796952064,https://x.com/i/web/status/1566159593796952064,Ciro Gomes,@cirogomes,2022-09-03T20:21:59.000Z,"Hoje temos mais um encontro AO VIVO na #CiroTV – diretamente do Aglomerado da Serra, em Belo Horizonte! Acompanhe a transmissão do nosso quarto programa eleitoral completo, com direito a muitos reacts, interação com quem estiver participando e muito mais. Espero vocês às 20h45!",nao,38 Replies. Reply,233 reposts. Repost,751 Likes. Like,,
1566140482094342147,https://x.com/i/web/status/1566140482094342147,Ciro Gomes,@cirogomes,2022-09-03T19:06:03.000Z,"O que bota uma nação pra frente é o trabalho decentemente remunerado. E vocês vão ver que o meu programa vai gerar 5 milhões de empregos em dois anos porque meu compromisso é não apenas derrotar a pobreza, mas também fortalecer a economia e gerar empregos com salários dignos.",nao,16 Replies. Reply,198 reposts. Repost,955 Likes. Like,,
1566140480001380358,https://x.com/i/web/status/1566140480001380358,Ciro Gomes,@cirogomes,2022-09-03T19:06:02.000Z,"Sobre a questão da suposta preguiça e falta de vontade de trabalhar, quero dizer que essa é uma visão muito equivocada. A ideia do projeto é banir a pobreza, a miséria e erradicar a fome no Brasil.",nao,14 Replies. Reply,181 reposts. Repost,954 Likes. Like,,
1566140477820264452,https://x.com/i/web/status/1566140477820264452,Ciro Gomes,@cirogomes,2022-09-03T19:06:02.000Z,"E a única campanha que propõe consertar essa conta é a nossa. Então, que fique bem claro: vamos reajustar o salário-mínimo sempre acima da inflação.",nao,7 Replies. Reply,175 reposts. Repost,911 Likes. Like,,
1566140475693826051,https://x.com/i/web/status/1566140475693826051,Ciro Gomes,@cirogomes,2022-09-03T19:06:01.000Z,"Aqui, faço um primeiro questionamento: qual é a explicação pro Brasil, maior economia da América Latina, ter o segundo pior salário da região, só ganhando da Venezuela? A explicação disso é a conta do governo, que tá quebrada.",nao,4 Replies. Reply,140 reposts. Repost,768 Likes. Like,,
1566140473596678147,https://x.com/i/web/status/1566140473596678147,Ciro Gomes,@cirogomes,2022-09-03T19:06:01.000Z,"Sobre a questão do salário mínimo, quero começar reafirmando: o programa de Renda Mínima não vem pra rivalizar com o salário. Ele vem pra COMPLEMENTAR a renda da família.",nao,2 Replies. Reply,150 reposts. Repost,750 Likes. Like,,
1566140471474274304,https://x.com/i/web/status/1566140471474274304,Ciro Gomes,@cirogomes,2022-09-03T19:06:00.000Z,"A primeira é sobre o aumento do salário mínimo e a segunda é sobre as chances do auxílio – que será permanente – acabar estimulando a “preguiça e a falta de vontade de trabalhar”. Bom, vamos por partes.",nao,3 Replies. Reply,148 reposts. Repost,912 Likes. Like,,
1566140469893120002,https://x.com/i/web/status/1566140469893120002,Ciro Gomes,@cirogomes,2022-09-03T19:06:00.000Z,Tem duas perguntas sobre nosso RENDA MÍNIMA DE R$ 1.000 que têm aparecido com frequência aqui nas redes e por onde a gente tem andado. ,nao,83 Respostas. Resposta,490 reposts. Repost,2468 Curtidas. Curtida,,
1566124313807392770,https://x.com/i/web/status/1566124313807392770,Ciro Gomes,@cirogomes,2022-09-03T18:01:48.000Z,"Até agora nos limitamos a apontar as boas notícias para Ciro, deixando de lado as nuvens que ameaçam as campanhas de Lula e Bolsonaro. Você gostaria que a gente falasse delas também? Responda aí. ",nao,91 Respostas. Resposta,181 reposts. Repost,1061 Curtidas. Curtida,,
1566124312049876993,https://x.com/i/web/status/1566124312049876993,Ciro Gomes,@cirogomes,2022-09-03T18:01:47.000Z,"Como Ciro está em ritmo de crescimento, enquanto eles patinam, e tem também o menor índice de rejeição, significa que ele é o candidato que pode crescer mais. ",nao,15 Replies. Reply,205 reposts. Repost,1071 Likes. Like,,
1566124309789249536,https://x.com/i/web/status/1566124309789249536,Ciro Gomes,@cirogomes,2022-09-03T18:01:47.000Z,"O potencial de voto de Ciro varia de 51% a 55%. O de Lula vai de 54% a 59%, um empate técnico cravado. E o de Bolsonaro não passa de 40%. O que isso significa? ",nao,58 Respostas. Resposta,276 reposts. Repost,1437 Curtidas. Curtida,,
1566124307582959619,https://x.com/i/web/status/1566124307582959619,Ciro Gomes,@cirogomes,2022-09-03T18:01:46.000Z,"Pois bem, o mais espetacular vamos dizer agora: Ciro tem maior potencial de voto que Bolsonaro, empata neste item com Lula e tem rejeição menor que os dois. ",nao,21 Respostas. Resposta,215 reposts. Repost,1182 Curtidas. Curtida,,
1566124305116794881,https://x.com/i/web/status/1566124305116794881,Ciro Gomes,@cirogomes,2022-09-03T18:01:46.000Z,"Lembra dos posts anteriores em que apontamos os indicadores fabulosos, em favor de Ciro, que estão nas camadas ocultas do DataFolha e de pesquisas recentes? (Se não lembra, procure aí na sua timeline) ",nao,508 Respostas. Resposta,705 reposts. Repost,3426 Curtidas. Curtida,,
1566094839791370240,https://x.com/i/web/status/1566094839791370240,Ciro Gomes,@cirogomes,2022-09-03T16:04:41.000Z,"Confira o programa que foi ao ar às 13h e não perca a versão completa – que vamos exibir AO VIVO na live de 20h45 da 
cirotv.com.br.",nao,9 Respostas. Resposta,90 reposts. Repost,393 Curtidas. Curtida,,
1566094114189451265,https://x.com/i/web/status/1566094114189451265,Ciro Gomes,@cirogomes,2022-09-03T16:01:48.000Z,"No programa eleitoral de hoje, falamos sobre duas das nossas principais propostas: a Lei Antiganância e a renegociação das dívidas que vai limpar o nome de todo mundo que está no SPC e no Serasa.",nao,72 Respostas. Resposta,445 reposts. Repost,1465 Curtidas. Curtida,,
1566062783325773826,https://x.com/i/web/status/1566062783325773826,Ciro Gomes,@cirogomes,2022-09-03T13:57:18.000Z,"GIRO DO CIRO - CAMINHADA NO CENTRO DE SERRA | SERRA/SP | 03/09/2022 
x.com/i/broadcasts/1
…",nao,65 Respostas. Resposta,279 reposts. Repost,1080 Curtidas. Curtida,,
1566053088955629568,https://x.com/i/web/status/1566053088955629568,Ciro Gomes,@cirogomes,2022-09-03T13:18:46.000Z,Isso nos leva à conclusão mais espetacular - mas vamos deixar vocês com gostinho de ‘quero mais’ e só apresentá-la daqui a pouco!,nao,28 Respostas. Resposta,151 reposts. Repost,1034 Curtidas. Curtida,,
1566053085566345217,https://x.com/i/web/status/1566053085566345217,Ciro Gomes,@cirogomes,2022-09-03T13:18:46.000Z,"Se examinarmos outras pesquisas  confiáveis, vemos indicadores ainda mais importantes: a rejeição do Ciro oscila de 16% a 24%; contra 39% a 42% de Lula e 45%  a 56% de Bolsonaro.",nao,23 Respostas. Resposta,198 reposts. Repost,1194 Curtidas. Curtida,,
