resposta_id,tweet_pai,candidato,data
1582400109115232261,1582311743723753472,Bolsonaro,
1582360250585600001,1582311743723753472,Bolsonaro,
1582340750611607557,1582311743723753472,Bolsonaro,
1582351414168547329,1582311743723753472,Bolsonaro,
1582460844973387776,1582311743723753472,Bolsonaro,
1582384546250559491,1582311743723753472,Bolsonaro,
1582332630628204555,1582311743723753472,Bolsonaro,
1582371545145823233,1582311743723753472,Bolsonaro,
1582367721001738243,1582311743723753472,Bolsonaro,
1582348194683400194,1582311743723753472,Bolsonaro,
1582536919472570368,1582311743723753472,Bolsonaro,
1582360704970985473,1582311743723753472,Bolsonaro,
1582348125196365826,1582311743723753472,Bolsonaro,
1582381720191455232,1582311743723753472,Bolsonaro,
1582315100081623040,1582311743723753472,Bolsonaro,
1582373353666379779,1582311743723753472,Bolsonaro,
1582336336157343744,1582311743723753472,Bolsonaro,
1582313805367095296,1582311743723753472,Bolsonaro,
1582352432494915584,1582311743723753472,Bolsonaro,
1582411612593324038,1582311743723753472,Bolsonaro,
1560784458059587587,1560783830654631938,Ciro Gomes,
1560802745338167296,1560783830654631938,Ciro Gomes,
1560810901565067269,1560783830654631938,Ciro Gomes,
1560812563058888704,1560783830654631938,Ciro Gomes,
1560784692177141760,1560783830654631938,Ciro Gomes,
1561001981082185729,1560783830654631938,Ciro Gomes,
1560786513805312000,1560783830654631938,Ciro Gomes,
1560809616811954186,1560783830654631938,Ciro Gomes,
1560903522551480320,1560783830654631938,Ciro Gomes,
1560808906611384321,1560783830654631938,Ciro Gomes,
1560787754090463233,1560783830654631938,Ciro Gomes,
1560807990621622275,1560783830654631938,Ciro Gomes,
1560790144843747328,1560783830654631938,Ciro Gomes,
1560937275210473472,1560783830654631938,Ciro Gomes,
1560847109863215104,1560783830654631938,Ciro Gomes,
1560791149023039488,1560783830654631938,Ciro Gomes,
1560809703243923456,1560783830654631938,Ciro Gomes,
1560800527545499650,1560783830654631938,Ciro Gomes,
1560809473467351041,1560783830654631938,Ciro Gomes,
1560838529202245632,1560783830654631938,Ciro Gomes,
1586173729725247488,1586169801298575361,Lula,
1586172496247918593,1586169801298575361,Lula,
1586170257298931714,1586169801298575361,Lula,
1586176682930864128,1586169801298575361,Lula,
1586187682547662848,1586169801298575361,Lula,
1586193527842676736,1586169801298575361,Lula,
1586172782374965248,1586169801298575361,Lula,
1586171901503741952,1586169801298575361,Lula,
1586189539785445376,1586169801298575361,Lula,
1586185425982750726,1586169801298575361,Lula,
1586169902473289729,1586169801298575361,Lula,
1586178772016955397,1586169801298575361,Lula,
1586211193122787329,1586169801298575361,Lula,
1586179769435295744,1586169801298575361,Lula,
1586170155842813955,1586169801298575361,Lula,
1586179800036966401,1586169801298575361,Lula,
1586171552831242240,1586169801298575361,Lula,
1586174211722469376,1586169801298575361,Lula,
1586175986449645570,1586169801298575361,Lula,
1586196225681866753,1586169801298575361,Lula,
1561087468300128270,1560396861487423488,Lula,
1560397373104443402,1560396861487423488,Lula,
1560397201637097472,1560396861487423488,Lula,
1560397292636704770,1560396861487423488,Lula,
1560397387599908865,1560396861487423488,Lula,
1560398417632837638,1560396861487423488,Lula,
1560619227798814720,1560396861487423488,Lula,
1560716916943118350,1560396861487423488,Lula,
1560396931330936832,1560396861487423488,Lula,
1560744432118423555,1560396861487423488,Lula,
1560724143225847808,1560396861487423488,Lula,
1560747659518148608,1560396861487423488,Lula,
1560403957280800768,1560396861487423488,Lula,
1560687242590429184,1560396861487423488,Lula,
1560681296078090240,1560396861487423488,Lula,
1560674893033009153,1560396861487423488,Lula,
1560705601243676672,1560396861487423488,Lula,
1560754178770731009,1560396861487423488,Lula,
1560748235362160640,1560396861487423488,Lula,
1560397436455092226,1560396861487423488,Lula,
1564169574257410051,1564065906225025024,Lula,
1564067162301554690,1564065906225025024,Lula,
1564099552461918212,1564065906225025024,Lula,
1564066174811373582,1564065906225025024,Lula,
1564328644004265988,1564065906225025024,Lula,
1564068504998903809,1564065906225025024,Lula,
1564296977688530946,1564065906225025024,Lula,
1564237308089569281,1564065906225025024,Lula,
1564067177292087298,1564065906225025024,Lula,
1564071439283757057,1564065906225025024,Lula,
1564067213010665475,1564065906225025024,Lula,
1564130578101927938,1564065906225025024,Lula,
1564066598519963648,1564065906225025024,Lula,
1564220227637985282,1564065906225025024,Lula,
1564069680872132608,1564065906225025024,Lula,
1564109370476068871,1564065906225025024,Lula,
1564076362616524800,1564065906225025024,Lula,
1564066418848677893,1564065906225025024,Lula,
1564066911062745088,1564065906225025024,Lula,
1564076721854373888,1564065906225025024,Lula,
1577778043979964416,1577771284049584128,Lula,
1577790274373312513,1577771284049584128,Lula,
1578001682989998080,1577771284049584128,Lula,
1577774334927577096,1577771284049584128,Lula,
1577774364254142465,1577771284049584128,Lula,
1577781061613920268,1577771284049584128,Lula,
1577771584777031700,1577771284049584128,Lula,
1577881222772031496,1577771284049584128,Lula,
1577836081998872577,1577771284049584128,Lula,
1577798330146496513,1577771284049584128,Lula,
1577778736086269954,1577771284049584128,Lula,
1577855998705934336,1577771284049584128,Lula,
1578029617310765056,1577771284049584128,Lula,
1577773521375318017,1577771284049584128,Lula,
1577771739710373889,1577771284049584128,Lula,
1578053392739536900,1577771284049584128,Lula,
1577774266774339585,1577771284049584128,Lula,
1577772773769977856,1577771284049584128,Lula,
1577771558323556365,1577771284049584128,Lula,
1577772154275373072,1577771284049584128,Lula,
1572374812894400512,1572217501597208577,Lula,
1572237732822528000,1572217501597208577,Lula,
1572273833373233152,1572217501597208577,Lula,
1572237675998097408,1572217501597208577,Lula,
1572336821383884802,1572217501597208577,Lula,
1572222506320240641,1572217501597208577,Lula,
1572236645935497218,1572217501597208577,Lula,
1572217954355523585,1572217501597208577,Lula,
1572351800308600833,1572217501597208577,Lula,
1572234569817931781,1572217501597208577,Lula,
1572234666509488128,1572217501597208577,Lula,
1572238570634584066,1572217501597208577,Lula,
